City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,33.04,30,0,5.85,ZA,1707744438
1,haiku-pauwela,20.9219,-156.3051,20.02,76,0,2.57,US,1707744439
2,chul'man,56.8479,124.9104,-15.74,98,100,0.56,RU,1707744440
3,sisimiut,66.9395,-53.6735,-22.85,84,28,3.19,GL,1707744441
4,olonkinbyen,70.9221,-8.7187,-2.04,88,100,8.1,SJ,1707744441
5,papatowai,-46.5619,169.4708,10.72,86,97,1.55,NZ,1707744442
6,keflavik,64.0049,-22.5624,1.95,86,75,8.23,IS,1707744442
7,port-aux-francais,-49.35,70.2167,6.78,84,100,13.74,TF,1707744443
8,albany,42.6001,-73.9662,1.68,76,35,1.34,US,1707744444
9,bethel,41.3712,-73.414,1.12,88,0,0.0,US,1707744444
10,korem,12.5058,39.5228,16.77,72,100,4.5,ET,1707744445
11,elverum,60.8819,11.5623,-5.6,94,100,3.02,NO,1707744446
12,enewetak,11.3474,162.3373,26.49,76,100,9.45,MH,1707744447
13,edinburgh of the seven seas,-37.0676,-12.3116,17.15,72,83,9.29,SH,1707744447
14,manokwari,-0.8667,134.0833,26.42,82,52,2.75,ID,1707744448
15,yellowknife,62.456,-114.3525,-14.21,99,100,2.06,CA,1707744152
16,blackmans bay,-43.0167,147.3167,17.07,89,92,1.4,AU,1707744449
17,ginir,7.1333,40.7,25.7,29,35,5.39,ET,1707744450
18,weno,7.4515,151.8468,26.97,83,100,4.12,FM,1707744450
19,touros,-5.1989,-35.4608,27.91,79,15,9.32,BR,1707744451
20,ulladulla,-35.35,150.4667,20.76,86,0,3.01,AU,1707744451
21,tabou,4.423,-7.3528,31.41,61,100,3.42,CI,1707744452
22,san javier,37.8063,-0.8374,24.99,58,0,2.57,ES,1707744453
23,thompson,55.7435,-97.8558,-14.91,85,100,1.03,CA,1707744453
24,waitangi,-43.9535,-176.5597,12.68,88,79,0.45,NZ,1707744454
25,adamstown,-25.066,-130.1015,24.55,90,100,9.02,PN,1707744455
26,karratha,-20.7377,116.8463,27.29,84,0,8.02,AU,1707744455
